group_name,columns,predictability_accuracy_mean,predictability_accuracy_std,predictability_macro_f1_mean,predictability_macro_f1_std,majority_macro_f1_mean,majority_macro_f1_std,importance_sum_mean,importance_sum_std,raw_macro_f1_mean,raw_macro_f1_std,perturb_zero_drop_mean,perturb_zero_drop_std,perturb_permute_drop_mean,perturb_permute_drop_std,perturb_drop_mean,stability_penalty,semantic_risk,retrain_mask_drop_pp,note,normalized_predictability,normalized_importance,normalized_perturb_drop,stability_score,shortcut_score,rank
current_mask_top_shortcut_columns,"4,16,17,20,21,22,23,24,25",0.9998333333333335,0.00010408329997329517,0.9998266600268478,0.00010825016698190842,0.7458265786667,0.38857897930009466,0.9210687999779088,0.008881975694343713,0.9998439886462834,0.00010401205121017875,0.7131361887960749,0.00010401205121017875,0.49403088272035484,0.009395779473275485,0.6035835357582149,0.004622504346452821,0.9,3.5708,Legacy manual/semimanual mask_top_shortcut kept as the old-method control.,0.9996130051688696,1.0,1.0,0.21438022235710652,0.8720602846457834,1
tcp_options,"20,21,22,23,24,25",0.9937833333333334,0.0005686240703077319,0.9935499297375511,0.0005889670715391341,0.757393275503401,0.407625697221344,0.6768204282918046,0.00940218328227008,0.9998439886462834,0.00010401205121017875,0.7019931626679053,0.0009066419875909,0.2825908300613971,0.011633304055908887,0.49229199636465126,0.0056327740993272505,0.95,-0.0064,"Must be located dynamically from TCP data offset. Do not use a fixed offset when the TCP header is short, because bytes after the TCP header are payload in Pcap-Encoder and padding in ShallowML.",0.9855997217110214,0.7342880827674089,0.8156153493256564,0.0,0.7288757884510216,2
tcp_flags_window,"16,17",0.9932500000000001,0.00035000000000000113,0.9929960991856458,0.00036156105672596907,0.9770936537273945,0.014323598711005778,0.07764475569657107,0.00304363778669355,0.9998439886462834,0.00010401205121017875,6.935270450192377e-05,0.00012012240783964277,0.002372348640355848,0.0005741905017137984,0.001220850672428886,0.00102487793824324,0.7,0.0044,"TCP flags and window size can reflect packet role, OS defaults, application stack, and trace construction.",0.9843632523784616,0.08245930853503415,0.0020226706000110936,0.977800038852029,0.4838813137061811,3
ip_basic,"1,2,3,4,5",1.0,0.0,1.0,0.0,0.3756374211561339,0.07701541459816492,0.1969235588564154,0.01014205696015623,0.9998439886462834,0.00010401205121017875,0.006138132499404573,0.0005957967749974058,0.009260603372570064,0.0031462513746586,0.007699367935987319,0.003471026277453059,0.7,5.5121,IPv4 basic header fields. total_length can be legitimate packet-size signal or dataset artifact; TTL/protocol/IP ID/checksum are higher shortcut-risk fields.,1.0,0.21221984390327955,0.012756093365461766,0.45872498648485405,0.4450527322899135,4
ip_ttl_protocol,4,1.0,0.0,1.0,0.0,0.9993930901449201,0.0006250287907832954,0.1666036159895329,0.017043304374287135,0.9998439886462834,0.00010401205121017875,0.0061901348641131655,0.0006477859773968681,0.0066749488026090304,0.0005288385714396777,0.006432541833361098,0.00455498223078092,0.95,,"Column 4 in common IPv4/IHL=5 packets. TTL is strongly tied to OS/network path/capture environment, while protocol is a coarse transport indicator.",1.0,0.17923550876144445,0.010657251982992893,0.22870848085497664,0.4267794623143558,5
ip_len_id_checksum,"1,2,5",0.9108833333333334,0.0026633312473917418,0.9055652998448736,0.0030052847439083464,0.3756374211561339,0.07701541459816492,0.017226576867987533,0.01103964276630864,0.9998439886462834,0.00010401205121017875,0.0002425839136394048,0.00042016766352234985,1.7334280113819506e-05,3.002385386976621e-05,0.00012995909687661214,0.0036237797569022754,0.7,,Length is mixed evidence; IP ID/checksum can reflect stack/capture artifacts and packet construction.,0.7891672637603554,0.016731827850429808,0.00021531252788954718,0.42631054984852834,0.33547518351194794,6
random_same_size,"1,3,5,10,12,15,18,29,31",0.9655999999999999,0.0014177446878757517,0.9637635188263936,0.0015400136325142847,0.3458765960725385,0.05124240075740461,0.05433427682287394,0.010692520680759678,0.9998439886462834,0.00010401205121017875,0.006120799128163286,0.0005696217512267301,0.004584834430416611,0.0006048392694076923,0.005352816779289948,0.003351748833477096,0.1,,Sanity-check baseline: randomly selected non-shortcut columns with the same cardinality as current_mask_top_shortcut.,0.9190992668481186,0.05710040034505478,0.008868394285417013,0.48403577589431646,0.3288723817537951,7
tcp_seq_ack,"12,13,14,15",0.7942999999999999,0.0031917863337009135,0.7643855759656514,0.0033041162924944915,0.3457407798163456,0.05112410545297135,0.044896668896562936,0.010047803520214145,0.9998439886462834,0.00010401205121017875,0.0,0.0,0.0028046306826858083,0.0007484909858521096,0.0014023153413429041,0.0035251026996401865,0.75,,"Seq/Ack can encode implicit flow identity in packet-level splits. Ports are already zeroed, but sequence space may still leak flow/session structure.",0.4739726643374855,0.04683345412601366,0.0023233160917507985,0.447249917197895,0.27286984621849675,8
udp_len_checksum,"12,13",0.64105,0.00707407237735093,0.5520871101924772,0.0030859135676148315,0.37819532157415264,0.07923054275034264,0.002421520384038338,0.0005951276937019919,0.9998439886462834,0.00010401205121017875,0.0,0.0,0.0,0.0,0.0,0.0009202603153292059,0.55,,Only applies to UDP packets. On TCP-only subsets this group should be skipped in pcap-aware masking; default columns are only for lightweight CSV scoring.,0.0,0.0006257636997030645,0.0,1.0,0.20515644092492574,9
tcp_checksum_urgent,"18,19",0.6607833333333334,0.005029993373090404,0.557446496091971,0.006689126343443468,0.5072469432114756,0.10463783531210219,0.001846304314301595,0.0011194008584674733,0.9998439886462834,0.00010401205121017875,0.0,0.0,0.0,0.0,0.0,0.0019521318004777355,0.6,,Checksum can be an artifact after IP/port normalization; urgent pointer is usually zero but still included for field-complete TCP header masking.,0.011965241504429229,0.0,0.0,0.7810358690827847,0.18014669073852502,10
